               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.025485,             0.02516,           0.0012206,             0.91663,              0.8375,             0.89981,             0.46339,            0.036371,            0.015414,           0.0044412,             0.00208,             0.00208,             0.00208
                  82,            0.025298,            0.024357,           0.0010759,              0.8526,             0.83598,             0.88978,             0.48389,            0.034727,            0.015545,           0.0046868,            0.001981,            0.001981,            0.001981
                  83,            0.025043,            0.024471,           0.0010859,             0.87533,             0.84335,             0.89404,             0.47595,            0.035743,            0.015592,           0.0043846,            0.001882,            0.001882,            0.001882
                  84,            0.025117,            0.024674,           0.0010301,             0.87979,             0.84545,              0.8888,             0.47016,            0.035293,            0.016022,           0.0048144,            0.001783,            0.001783,            0.001783
                  85,            0.024813,            0.024464,           0.0010962,             0.85463,             0.82989,             0.87341,             0.46839,            0.035495,            0.016095,           0.0065288,            0.001684,            0.001684,            0.001684
                  86,            0.024729,            0.024331,           0.0010127,             0.88398,             0.83267,             0.87582,             0.47838,            0.035199,            0.016464,           0.0044662,            0.001585,            0.001585,            0.001585
                  87,            0.024469,            0.024079,           0.0010829,             0.90529,             0.78478,             0.87185,             0.47207,             0.03545,            0.016394,           0.0047705,            0.001486,            0.001486,            0.001486
                  88,            0.024579,            0.024244,          0.00094058,             0.91002,             0.78566,             0.87104,             0.47555,            0.035323,            0.016376,           0.0054647,            0.001387,            0.001387,            0.001387
                  89,            0.024284,            0.023594,          0.00085699,             0.89989,              0.8119,             0.87576,             0.47288,             0.03551,            0.016255,           0.0063537,            0.001288,            0.001288,            0.001288
                  90,            0.024276,            0.023728,           0.0010703,              0.8506,             0.83279,             0.88527,             0.47209,            0.035955,            0.016169,            0.005904,            0.001189,            0.001189,            0.001189
                  91,            0.023907,             0.02356,           0.0009716,             0.84892,             0.81417,             0.88153,             0.47239,            0.035597,            0.016075,           0.0075762,             0.00109,             0.00109,             0.00109
                  92,            0.024032,            0.023757,          0.00099538,             0.91365,             0.77989,             0.87301,             0.46211,             0.03627,            0.016776,           0.0067315,            0.000991,            0.000991,            0.000991
                  93,            0.024016,              0.0237,          0.00096259,             0.87085,             0.82336,             0.86813,             0.45747,            0.035977,            0.016927,           0.0068718,            0.000892,            0.000892,            0.000892
                  94,            0.023688,            0.022947,          0.00093683,             0.88187,             0.81304,             0.87892,             0.46471,            0.035871,            0.016676,           0.0060383,            0.000793,            0.000793,            0.000793
                  95,            0.023756,            0.023352,           0.0009894,             0.88717,             0.82446,             0.88126,             0.47225,            0.035835,            0.016324,           0.0056726,            0.000694,            0.000694,            0.000694
                  96,            0.023692,            0.023266,           0.0008453,             0.87856,               0.807,             0.87666,             0.46151,            0.036242,            0.016454,           0.0061156,            0.000595,            0.000595,            0.000595
                  97,            0.023559,            0.023008,           0.0008593,             0.88639,             0.80707,             0.87708,             0.46251,            0.036313,            0.016648,           0.0062473,            0.000496,            0.000496,            0.000496
                  98,            0.023312,            0.023158,          0.00082233,             0.89241,             0.80883,             0.87664,             0.46363,            0.036362,            0.016748,           0.0060767,            0.000397,            0.000397,            0.000397
                  99,             0.02335,            0.023073,          0.00089542,             0.89068,             0.81167,             0.88141,             0.46766,            0.036216,            0.016477,           0.0062671,            0.000298,            0.000298,            0.000298
